user_id,book_id
112,217
162,200
256,1514
332,2637
360,217
453,8611
504,198
143,9070
537,659
497,7579
635,4671
531,4671
458,217
585,178
1135,3122
1254,178
684,659
1735,974
2036,659
2080,178
2136,8120
1261,1156
1681,217
898,217
2713,659
2713,217
2728,217
1903,178
2639,8677
706,1156
2397,2004
2709,1156
2295,1156
2907,2679
2816,178
1727,4482
2955,659
2709,5122
2181,1156
2934,716
1937,178
3079,198
3157,2679
3265,1156
3221,4671
3023,974
3354,1156
3269,2004
2437,2004
1721,5325
2437,2637
3495,1792
3546,2004
3636,198
3668,1156
3693,1156
3351,217
2339,1156
3916,716
3916,1156
1600,1088
760,659
3077,1156
3964,1156
4082,217
1536,4671
215,1514
4238,178
1287,178
1800,2921
1356,1792
1092,2679
740,1088
4622,1156
4294,1088
4662,7080
4823,659
4839,2921
4619,198
4861,659
4861,1156
4505,178
3123,1088
695,2004
4586,2679
29,178
5175,2679
4555,217
3076,659
5336,217
1829,1156
5339,1156
5426,4670
4281,217
5522,198
5522,178
2361,4671
989,6726
2990,373
4382,3468
4029,659
1250,6922
3250,1156
1650,2765
2373,217
5503,8120
614,2637
322,1156
2223,659
2569,659
5554,217
3035,178
5809,469
3250,5518
3826,9887
5859,178
5928,5785
5945,6627
5945,9585
5946,1156
4074,217
1270,6726
2399,2004
5368,2637
5892,5648
3881,2637
3422,1514
1420,2004
2738,2679
1335,1156
3360,2679
1173,217
6330,716
6336,9070
5047,6057
3071,9522
826,2557
6397,217
5866,200
5804,373
5559,198
4278,716
5597,178
6498,5643
5966,198
2389,659
6302,659
6510,2004
976,2637
2554,4981
6541,178
4407,217
3366,7579
6560,659
2006,217
1844,3546
6314,659
150,6726
6443,217
5889,2175
5891,716
4567,6726
6740,3546
2210,178
200,4338
3495,6726
6525,178
6218,200
6771,7738
3838,3546
6800,9070
3958,2679
6897,217
2890,659
6905,178
4129,2921
5261,6057
6858,217
6488,659
6990,659
6993,6302
802,768
1584,659
2221,659
7024,832
7033,1514
7045,178
7045,2557
3697,659
677,178
2105,7106
3305,1792
6618,7770
7158,200
2005,200
2905,659
6423,217
6932,659
6316,5325
7267,5122
1940,198
2070,178
5325,768
7141,469
3021,974
5319,7386
7395,178
7396,659
375,659
5422,2004
4374,217
162,659
6132,659
1966,198
1739,659
7456,178
6352,1156
7470,1039
2403,2004
7579,178
7594,373
7594,469
6839,659
199,4671
6657,1156
6189,2327
4634,198
6498,8120
7697,832
4741,2679
7720,198
7724,178
2919,659
7309,6726
7419,974
7375,178
6998,659
6495,178
6749,832
7603,178
7784,217
7802,1088
7802,1156
7823,2729
7255,1039
3011,974
899,1039
2294,1039
7907,178
2890,217
6089,5648
6089,3468
7045,4482
7309,2679
2163,1039
4308,659
7937,2087
2416,6057
7951,659
7958,198
4984,1039
3293,5325
3647,217
3310,1039
826,4981
104,1039
7065,217
6334,178
5752,1039
1566,178
6574,2765
1892,659
8117,217
3707,5325
6309,1039
8207,178
7613,6302
8244,4338
6316,1039
