user_id,book_id,rating
4,200,4
4,373,4
24,7770,4
32,373,5
40,659,3
50,217,4
46,200,5
55,217,3
56,2679,4
73,178,5
72,2679,4
54,217,4
89,373,4
29,2729,4
29,8611,3
29,373,5
80,198,3
108,659,4
115,4981,5
117,178,5
86,178,5
124,373,4
86,200,4
126,217,4
115,5648,3
137,373,3
142,7579,3
149,198,5
149,217,4
114,1088,3
158,373,4
108,6726,3
136,2729,4
164,217,5
169,178,4
115,5571,3
177,178,4
180,200,3
187,198,5
183,2004,4
171,7579,3
168,2004,4
191,373,4
199,6467,4
179,373,5
106,4260,1
10,217,4
184,178,5
206,373,4
223,217,4
228,373,4
242,198,5
116,178,3
248,1088,4
257,2004,3
247,217,4
258,217,4
247,2729,5
247,974,5
247,198,5
207,178,5
274,217,4
242,5785,5
206,198,5
247,768,3
286,178,1
279,7106,5
243,373,4
174,217,5
243,6726,2
296,2411,5
89,2729,5
215,198,4
215,2679,2
203,768,4
324,9070,5
324,7080,4
258,3546,3
233,3284,3
345,2087,2
319,974,4
319,1088,4
352,217,4
322,5667,3
9,217,3
9,178,4
344,6840,4
344,373,4
362,178,5
270,5122,4
363,5667,3
337,659,5
370,7080,3
243,8611,2
389,217,4
100,4260,3
395,9070,3
399,217,3
396,5667,3
396,9070,2
396,217,1
63,4260,4
401,373,4
322,9070,3
94,4260,2
406,1088,5
399,200,5
366,217,2
439,373,5
320,198,5
131,469,2
446,198,4
446,5667,4
446,373,4
446,217,3
452,659,5
449,7852,5
449,2765,5
449,3392,5
449,4151,5
453,178,4
453,198,3
456,373,2
399,2679,3
304,4260,2
253,178,3
480,178,4
420,373,4
420,217,4
420,198,3
475,974,5
449,5643,4
499,178,3
497,659,3
497,217,3
506,198,4
506,178,3
322,5157,3
495,373,5
513,373,5
516,974,4
518,7738,5
519,8611,3
531,178,4
537,198,5
540,200,4
535,373,5
546,200,4
547,198,4
554,373,3
549,6726,4
549,7579,4
558,3122,5
564,373,4
543,974,3
574,217,3
574,178,4
554,469,2
583,373,4
580,4482,2
513,1088,4
199,178,2
529,178,4
579,373,4
607,974,3
599,373,4
599,200,4
616,200,4
456,659,3
628,768,4
610,373,3
634,2004,4
632,178,3
639,217,3
190,217,5
190,659,4
637,2679,2
637,2087,2
651,5325,5
498,2921,5
653,198,3
643,178,3
423,659,2
662,3284,5
218,217,5
684,217,3
684,1514,5
687,7106,5
412,5122,4
688,974,5
698,178,5
349,178,3
239,178,3
349,7579,4
710,974,4
264,4260,3
735,178,5
752,217,4
760,2004,3
763,2004,3
763,2411,3
697,178,3
765,2004,4
497,5122,4
555,3122,2
624,198,3
756,5157,3
763,1088,4
779,4670,5
297,178,3
606,2004,4
782,4670,3
782,2729,5
782,178,2
782,373,5
806,1514,4
811,373,5
813,217,3
811,178,5
779,178,3
806,373,4
448,659,3
793,373,3
813,200,4
826,198,5
810,2557,4
760,469,5
841,974,4
715,217,5
839,178,4
839,217,4
795,1088,4
829,7080,3
750,217,5
871,373,3
863,178,3
863,198,3
875,198,4
750,178,5
