goodreads_book_id,tag_id,count
2371,30574,3162
2371,14552,238
2371,21773,183
2371,21689,160
2371,8717,154
2371,2305,110
2371,3389,49
2371,3392,41
2371,9546,41
2371,3371,38
2371,17213,33
2371,9549,29
2371,18045,26
2371,14445,24
2371,3358,23
2371,9051,23
2371,5207,22
2371,22743,22
2371,23248,22
2371,4949,20
2371,14557,20
2371,3377,19
2371,509,18
2371,31647,15
2371,21712,15
2371,3379,14
2371,2277,11
2371,1642,10
2371,14487,10
2371,9221,9
2371,20774,9
2371,25152,9
2371,10197,9
2371,2271,9
2371,14467,9
2371,21739,9
2371,14520,9
2371,21123,9
2371,32267,9
2371,22753,8
2371,18284,8
2371,26816,8
2371,14572,8
2371,1668,8
2371,27535,7
2371,30521,7
2371,32586,7
2371,25148,7
2371,30755,7
2371,22618,7
2371,31528,7
2371,14602,7
2371,21788,7
2371,19577,7
2371,14612,7
2371,21184,7
2371,9484,6
2371,14521,6
2371,14622,6
2371,31414,6
2371,14625,6
2371,4614,6
2371,11557,5
2371,20849,5
2371,31656,5
2371,11503,5
2371,24997,5
2371,24993,5
2371,831,5
2371,30693,5
2371,14585,5
2371,12955,5
2371,31103,5
2371,14452,5
2371,23686,5
2371,21510,5
2371,19579,5
2371,14480,5
2371,22854,5
2371,23249,5
2371,25151,4
2371,25150,4
2371,20279,4
2371,10210,4
2371,25149,4
2371,18051,4
2371,30756,4
2371,30766,4
2371,14601,4
2371,2339,4
2371,6524,4
2371,506,4
2371,829,4
2371,31410,4
2371,368,4
2371,16580,4
2371,21183,4
2371,12118,4
2371,12119,4
2371,31529,4
5158,30574,8695
5158,11743,262
5158,22456,79
5158,8717,72
5158,22449,66
5158,22451,41
5158,5207,38
5158,22743,34
5158,22465,34
5158,28204,31
5158,8067,27
5158,11557,26
5158,4949,23
5158,8055,22
5158,14487,19
5158,1659,19
5158,28215,18
5158,18326,17
5158,22034,16
5158,18367,16
5158,26138,15
5158,22753,14
5158,1642,14
5158,18045,13
5158,12948,13
5158,28218,12
5158,22453,11
5158,22153,10
5158,9221,9
5158,9886,9
5158,32586,8
5158,15174,8
5158,20774,7
